iter	Passed	Remaining
0	112	111972
1	159	79801
2	207	69124
3	255	63675
4	301	60021
5	346	57445
6	393	55859
7	443	54984
8	491	54078
9	518	51313
10	566	50914
11	618	50882
12	667	50697
13	717	50518
14	766	50317
15	783	48210
16	833	48195
17	879	47993
18	928	47917
19	974	47743
20	1020	47578
21	1066	47413
22	1114	47351
23	1162	47291
24	1209	47183
25	1255	47021
26	1301	46917
27	1348	46806
28	1395	46737
29	1441	46620
30	1487	46492
31	1532	46349
32	1585	46455
33	1631	46356
34	1678	46275
35	1724	46181
36	1768	46041
37	1815	45957
38	1861	45869
39	1907	45776
40	1952	45669
41	1998	45596
42	2044	45508
43	2091	45448
44	2136	45337
45	2182	45265
46	2227	45166
47	2274	45109
48	2320	45028
49	2365	44947
50	2410	44863
51	2456	44791
52	2522	45063
53	2596	45487
54	2642	45396
55	2687	45301
56	2733	45229
57	2781	45170
58	2827	45088
59	2872	45001
60	2917	44909
61	2963	44835
62	3009	44757
63	3055	44688
64	3100	44604
65	3146	44521
66	3196	44511
67	3245	44481
68	3291	44411
69	3336	44331
70	3381	44249
71	3428	44187
72	3473	44111
73	3519	44044
74	3564	43962
75	3610	43898
76	3655	43820
77	3700	43739
78	3749	43708
79	3795	43644
80	3841	43582
81	3888	43535
82	3935	43475
83	3981	43418
84	4027	43352
85	4073	43289
86	4119	43229
87	4165	43165
88	4210	43097
89	4255	43029
90	4301	42971
91	4348	42922
92	4394	42862
93	4441	42806
94	4486	42737
95	4532	42681
96	4580	42639
97	4591	42263
98	4637	42210
99	4684	42157
100	4728	42089
101	4736	41699
102	4783	41661
103	4831	41622
104	4876	41569
105	4923	41525
106	4969	41477
107	5016	41430
108	5062	41380
109	5110	41345
110	5155	41292
111	5200	41234
112	5248	41197
113	5292	41136
114	5338	41083
115	5383	41025
116	5429	40973
117	5475	40926
118	5521	40877
119	5567	40829
120	5614	40784
121	5657	40717
122	5704	40676
123	5751	40628
124	5755	40287
125	5801	40241
126	5848	40201
127	5894	40157
128	5947	40160
129	5993	40111
130	6039	40063
131	6085	40014
132	6130	39966
133	6178	39929
134	6224	39881
135	6270	39834
136	6316	39788
137	6362	39744
138	6411	39714
139	6458	39672
140	6504	39626
141	6550	39581
142	6597	39540
143	6609	39288
144	6657	39255
145	6703	39209
146	6709	38933
147	6754	38883
148	6800	38841
149	6846	38794
150	6894	38765
151	6940	38718
152	6986	38675
153	7031	38627
154	7078	38591
155	7125	38548
156	7171	38507
157	7217	38461
158	7263	38417
159	7309	38374
160	7357	38342
161	7403	38298
162	7449	38253
163	7495	38209
164	7542	38167
165	7589	38130
166	7606	37943
167	7652	37895
168	7698	37852
169	7742	37802
170	7788	37756
171	7836	37723
172	7881	37677
173	7926	37629
174	7972	37584
175	8017	37535
176	8063	37494
177	8113	37469
178	8141	37341
179	8187	37300
180	8234	37258
181	8280	37216
182	8328	37180
183	8374	37136
184	8420	37095
185	8466	37050
186	8511	37004
187	8557	36961
188	8602	36914
189	8647	36863
190	8693	36823
191	8739	36780
192	8786	36741
193	8832	36694
194	8877	36649
195	8923	36605
196	8969	36560
197	9013	36508
198	9059	36466
199	9103	36414
200	9150	36372
201	9195	36326
202	9241	36282
203	9286	36236
204	9332	36191
205	9376	36140
206	9421	36093
207	9466	36045
208	9512	36000
209	9558	35958
210	9603	35910
211	9650	35871
212	9695	35824
213	9741	35779
214	9787	35734
215	9833	35691
216	9880	35651
217	9907	35540
218	9953	35495
219	9999	35453
220	10044	35404
221	10089	35358
222	10135	35316
223	10182	35274
224	10228	35233
225	10279	35206
226	10328	35169
227	10374	35127
228	10421	35086
229	10467	35043
230	10514	35001
231	10562	34963
232	10607	34918
233	10653	34874
234	10699	34828
235	10745	34786
236	10792	34743
237	10837	34697
238	10883	34653
239	10929	34609
240	10974	34562
241	10985	34409
242	11032	34369
243	11078	34326
244	11124	34280
245	11170	34236
246	11176	34072
247	11222	34029
248	11233	33880
249	11279	33839
250	11326	33797
251	11371	33753
252	11417	33709
253	11462	33666
254	11509	33627
255	11556	33587
256	11603	33546
257	11648	33501
258	11694	33457
259	11741	33417
260	11786	33373
261	11833	33332
262	11879	33289
263	11926	33248
264	11971	33203
265	12017	33160
266	12063	33118
267	12109	33075
268	12156	33035
269	12203	32993
270	12249	32951
271	12294	32905
272	12338	32857
273	12384	32814
274	12431	32773
275	12480	32737
276	12525	32692
277	12570	32646
278	12616	32603
279	12661	32558
280	12672	32425
281	12718	32382
282	12764	32339
283	12810	32296
284	12858	32259
285	12903	32213
286	12949	32169
287	12993	32123
288	13039	32079
289	13084	32035
290	13131	31994
291	13176	31949
292	13223	31908
293	13233	31779
294	13280	31738
295	13326	31694
296	13370	31647
297	13416	31604
298	13462	31562
299	13507	31517
300	13553	31475
301	13600	31433
302	13644	31387
303	13688	31339
304	13733	31294
305	13779	31251
306	13806	31165
307	13852	31123
308	13898	31080
309	13944	31037
310	13989	30992
311	14036	30952
312	14082	30909
313	14128	30867
314	14174	30824
315	14221	30782
316	14267	30740
317	14312	30694
318	14357	30651
319	14402	30604
320	14447	30561
321	14492	30514
322	14537	30470
323	14581	30422
324	14630	30387
325	14676	30344
326	14723	30302
327	14768	30256
328	14813	30213
329	14859	30169
330	14905	30126
331	14951	30082
332	14997	30039
333	15043	29996
334	15088	29952
335	15135	29911
336	15184	29873
337	15230	29830
338	15276	29786
339	15321	29742
340	15367	29697
341	15411	29652
342	15457	29608
343	15503	29564
344	15548	29520
345	15555	29402
346	15601	29360
347	15648	29317
348	15693	29274
349	15739	29230
350	15784	29185
351	15831	29144
352	15876	29099
353	15892	29002
354	15936	28955
355	15982	28911
356	16028	28869
357	16075	28828
358	16120	28783
359	16165	28739
360	16211	28694
361	16257	28651
362	16302	28608
363	16348	28565
364	16395	28522
365	16440	28479
366	16486	28435
367	16532	28393
368	16578	28350
369	16624	28307
370	16668	28260
371	16713	28215
372	16760	28173
373	16810	28137
374	16856	28093
375	16900	28046
376	16945	28002
377	16991	27959
378	17038	27917
379	17054	27826
380	17099	27781
381	17145	27737
382	17190	27692
383	17236	27650
384	17282	27607
385	17329	27565
386	17373	27519
387	17419	27475
388	17464	27431
389	17510	27388
390	17558	27347
391	17602	27302
392	17648	27258
393	17695	27217
394	17740	27172
395	17783	27124
396	17829	27081
397	17874	27035
398	17921	26994
399	17967	26951
400	18014	26908
401	18060	26865
402	18105	26821
403	18152	26779
404	18199	26737
405	18244	26693
406	18290	26650
407	18336	26606
408	18383	26563
409	18429	26520
410	18475	26477
411	18522	26434
412	18568	26390
413	18615	26348
414	18662	26306
415	18708	26264
416	18753	26218
417	18798	26173
418	18844	26129
419	18890	26086
420	18937	26045
421	18988	26007
422	19034	25964
423	19080	25920
424	19126	25877
425	19172	25833
426	19217	25788
427	19262	25743
428	19307	25698
429	19353	25654
430	19398	25609
431	19443	25564
432	19489	25520
433	19535	25477
434	19582	25434
435	19627	25390
436	19673	25345
437	19718	25300
438	19764	25257
439	19811	25214
440	19855	25168
441	19900	25123
442	19944	25077
443	19993	25036
444	20046	25001
445	20094	24960
446	20139	24915
447	20185	24871
448	20231	24827
